,SpatioTemporalKriging_mean_bc,SpatioTemporalKriging_std_bc,SpatioTemporalKriging_mean_log,SpatioTemporalKriging_std_log,SpatioTemporalKrigingStand_mean_bc,SpatioTemporalKrigingStand_std_bc,SpatioTemporalKrigingStand_mean_log,SpatioTemporalKrigingStand_std_log,SpatioTemporalKrigingStand_mean_exog_bc,SpatioTemporalKrigingStand_std_exog_bc,SpatioTemporalKrigingStand_mean_exog_log,SpatioTemporalKrigingStand_std_exog_log,NaiveTemporalNearest_mean,NaiveTemporalNearest_std,IDWTemporalFallback_mean,IDWTemporalFallback_std
AMBROZIJA,0.3069988839035942,0.006256304282650229,0.3935260321809803,0.07835477890994068,0.2990431544136891,0.009289713977742232,0.36024355473564934,0.00532143122701333,0.3020830865066357,0.008151804249094907,0.37640086494772984,0.005466012948929631,0.35843398870399473,0.006472782243137547,1.150838246580093,0.016235907799361383
BOKVICA,0.09745310225019133,0.005120683265555174,0.11094412826094047,0.014626694396352944,0.10304779790793246,0.0053971513457775275,0.10348420648096994,0.0038836944584937985,0.10081018525188479,0.00775387865755802,0.10467424148365727,0.0038061563057339965,0.10562550106084012,0.003757125589242672,0.13531413219250488,0.004304515062954189
BREST,0.21068554700907227,0.01291633474257262,0.25179910264269223,0.0359598451323016,0.1972391143898811,0.008322642929298168,0.23974087531576854,0.01920266522921344,0.1966402088709272,0.00796880549454251,0.24257417743751114,0.013538267741924627,0.22420290561567993,0.014852274643462978,0.4295363688559056,0.01324909913843659
BREZA,0.38457814944144697,0.03424363224952498,0.5017459756703446,0.1444002052983831,0.35169368443120436,0.004509285671769364,0.5414012510975216,0.19474822684941012,0.3546995331292263,0.004777660070946822,0.5598492624745913,0.1900890208934719,0.4477100494838487,0.008048925125913178,0.9702491025600445,0.014616410290756566
DUD,0.4363113038300012,0.12355263519032257,0.4562130564375386,0.14328107995389386,0.3217928568039822,0.02205083085468284,0.37915625001897396,0.007849104319760391,0.315920738502118,0.008953737301928472,0.40257470827544717,0.010586118130762052,0.359361918232522,0.010501224063661715,0.9107249261856959,0.02329243163520646
GRAB,0.33099182569562613,0.056943956406186456,0.37998731633951904,0.06251032669527305,0.2824528681702937,0.013028227737874754,0.40313700781566936,0.12857035800078506,0.28137798867392144,0.010509431119559317,0.42694765407537066,0.1472634564716002,0.3450141396648662,0.017353299841435584,0.6714060123667787,0.019222169104972413
HRAST,0.28208514052420874,0.005108321894724775,0.4360883540828039,0.05344235512802244,0.26096126301679984,0.009790225895522206,0.3095172287826612,0.006072451623180716,0.2665128457938071,0.009647134391433068,0.3212780286441123,0.006893541464489827,0.32977270985519425,0.005339095231630905,0.6296901446151307,0.006405579007684707
JASEN,0.24511968419869415,0.0023587636002567534,0.2607064947421868,0.012167083131768978,0.23446244687935502,0.005615545427442262,0.2741253917242801,0.0025705095299522114,0.23804333265107372,0.005581129251500696,0.2787121641095875,0.0025213206584490436,0.27480359546904903,0.00692229644826697,0.49129416979828067,0.005939774926877048
JAVOR,0.31177654901414525,0.12045814364945498,0.30953533314046777,0.07495891140562344,0.23862881480425657,0.017324654471970614,0.2840723032658262,0.010850078107247,0.24146765746532,0.017111657304517636,0.2870382183391766,0.011350472341241303,0.28002510679515835,0.004267884360222609,0.538134352277862,0.008371314642068937
KONOPLjE,0.149940208159131,0.003848546770880772,0.2197819871853311,0.04169444286736381,0.14999635845273449,0.005673857232302102,0.18686961079398615,0.06012305604530317,0.1499022303778461,0.0062784298367150005,0.18830072305317663,0.0623312784503789,0.16746681681837702,0.004403609791075879,0.31762963214741,0.01098934672994221
KOPRIVA,0.28728058904537823,0.0069970506015964344,0.3438176995634502,0.126432289800897,0.27729740632621047,0.011373039946400402,0.31172842495795616,0.004001788150606745,0.276144512051271,0.011706960016887657,0.3154465095657563,0.0040927636460074785,0.3199702705429546,0.0034080551400403913,0.7757494603861075,0.00423551354070815
LESKA,0.34257224012187315,0.13726378468399872,0.31254214181631557,0.04790982526278622,0.24945366239178085,0.009382278782363647,0.3006170550280129,0.006476773976010992,0.2542912552843826,0.010148134908289958,0.30328223516175445,0.006102312921563064,0.35008320960830874,0.0057476730024303355,0.596908164166319,0.021917630408473682
LIPA,0.18164171481276145,0.03532316959710539,0.23938895625347872,0.025956972559271874,0.16637291088581987,0.011619986562840344,0.18859909900864708,0.013024126805303201,0.1663832798201396,0.011309179150933199,0.20717234730441353,0.03983789073570707,0.1752875522103981,0.0055375338012712645,0.27640847900788057,0.005465216571141121
ORAH,0.2846973509954576,0.030812305505411704,0.4145163249939923,0.06515577875731195,0.25682364168992783,0.017104636341663072,0.3173538452650547,0.012912942070940396,0.2634833451380375,0.014604541115063511,0.3124525136465312,0.0066271061126669875,0.3183727847237531,0.006733314147588148,0.7089370698075823,0.008157914401273409
PELIN,0.13506174742816282,0.0439813447009079,0.14075658870613222,0.03246055663147341,0.1119215239398939,0.0015800401692506816,0.1207862724646607,0.0024567470772485383,0.1094333642311488,0.00451869953261473,0.12139472300934373,0.0022980764154458292,0.12574748715156014,0.007091679535278042,0.19385302822210895,0.0025429220715261626
PLATAN,0.332525864177179,0.02119991934331096,0.3488990636344468,0.00746698719683247,0.32901529583581224,0.01783941260062243,0.4086053536858333,0.018590460048600956,0.33146489780560273,0.01585875066278102,0.4290631093379721,0.02447234429363996,0.3806008990714574,0.029313180735287377,0.9570561389005621,0.018457513288714422
TISA/ČEMPRESI,0.471269394028195,0.009924471005833529,0.5248291136749542,0.10778515628964289,0.4671350995033407,0.005853225862092785,0.594459317476425,0.01181731867580168,0.4679904960361519,0.007177957580580072,0.6154200311209542,0.013271491829720674,0.6039857137205331,0.008045726522636885,1.0116470013819214,0.022611599100092437
TOPOLA,0.27221817103785184,0.022204400739382353,0.3338671297493018,0.07652051733422839,0.2657404225876853,0.01584252341741017,0.39262234230523296,0.10835916528011545,0.27312654538522335,0.015974653859401555,0.409230954734792,0.10871439731818303,0.3075126483574328,0.021618450770735913,0.5620679423808067,0.00898827334865513
TRAVE,0.237666843107946,0.06315960405984361,0.20598762844178364,0.0022786379606027393,0.20062002630988518,0.007894734673836622,0.22259198961530308,0.0024514442901395136,0.20051395295170954,0.00829882776752876,0.2248472143841811,0.0032314669575653756,0.2307869546100132,0.0040440149972993,0.43684527947093715,0.0038771983015966883
VRBA,0.25205092761445785,0.006976856420319562,0.29030908426345364,0.06414298647537792,0.2529614843693131,0.007839706667432125,0.2783004040254198,0.004355587572557102,0.25436888209438396,0.004479553786697195,0.2826459485119377,0.0047233050407192384,0.2841864859516666,0.003885378441097809,0.4973086093700701,0.010762949137261777
ČETINARI,0.33915017319486934,0.08400749121679978,0.3737350711449291,0.07941473938155787,0.26403249070272483,0.003904689923919822,0.3104062554406899,0.004217603084388122,0.2645124338659798,0.004703059179619454,0.3154616739285656,0.004074837547259469,0.35135872238843413,0.005678718148780623,0.5582048046254349,0.011716583021719802
ŠTIREVI/PEPELjUGE,0.11183625536064132,0.0362438551115492,0.09434318685346649,0.00401890994345192,0.09486732167227051,0.006567412115334609,0.09487916978436892,0.0010041136600074615,0.09532379315402317,0.006629247751829372,0.09527366237703859,0.0012041658577885118,0.09991127152904818,0.001248846773003268,0.15997986973841366,0.0033217246583552014
BUKVA,0.2609335133310644,0.10165814749402535,0.30163459021791356,0.06587934438092648,0.21906126097000791,0.008828639732701099,0.24065825011824918,0.008293200883221713,0.22038928505803526,0.006512407031027373,0.24613785928854318,0.00710660194258121,0.2389896743877368,0.014736580863556581,0.45211539435623144,0.021932250156151262
JOVA,0.27195677541603824,0.03364302057506851,0.3952191264775081,0.08547004682414566,0.24406225456039557,0.00817351877678021,0.33990575885213786,0.06090980431535248,0.24889398047806982,0.0050558152858562015,0.3350220605627431,0.03956005998391867,0.36622185319237843,0.013593528995327354,0.5779777661166443,0.014484800227641429
KISELICE,0.1204267490846748,0.034532290076783996,0.11167289352338072,0.03321225283800812,0.10734360851023103,0.03362049121306553,0.13290451089920507,0.022437943591629636,0.10998304341127134,0.03659132488213035,0.14437280596858365,0.01653503678025003,0.12873324542273337,0.04440581029346556,0.1882279945017307,0.030399927605171576
