location,latitude,longitude
BEOGRAD - ZELENO BRDO,44.786241,20.521657
BEOGRAD - NOVI BEOGRAD,44.823174,20.412914
BEOGRAD - ČUKARICA,44.76675,20.41712
BEČEJ,45.613056,20.052766
VALjEVO,44.270884,19.887231
VRANjE,42.55146,21.902314
VRBAS,45.57206,19.6403
VRŠAC,45.11667,21.30361
ZAJEČAR,43.906308,22.278354
ZLATIBOR,43.721861,19.708328
ZRENjANIN,45.38223,20.395474
KANjIŽA,46.06088,20.03795
KIKINDA,45.83255,20.478461
KRAGUJEVAC,44.011812,20.91589
KRALjEVO,43.723994,20.688908
KRUŠEVAC,43.581566,21.320344
KULA,45.701588,19.381502
LOZNICA,44.537135,19.229862
NIŠ,43.316286,21.913684
NOVI PAZAR,43.140807,20.518374
OBRENOVAC,44.658181,20.20004
PANČEVO,44.870078,20.640069
POŽAREVAC,44.621157,21.189076
SOKOBANjA,43.639534,21.868399
SOMBOR,45.77914,19.1105
SREMSKA MITROVICA,44.97161,19.61268
SUBOTICA,46.104969,19.668574
HAJDUKOVO,46.109893,19.810585
ČAČAK,43.892702,20.344355
